Keyword,Example expansion,Wrongs,Dataset
solid,"enduring, invincible, durable, stable, unwavering, unflinching, solidly constructed, tenacious, constant",0,SST2
to,"exceptional, superlative, flawless, superb, outstanding, impeccable, unparalleled",1,
time,"age, pace, period",0,SST2
is n't,"need n't, should n't have, could n't have, could have",0,SST2
profit,earnings,0,Financial phrasebank
stupid,"trivial, wrong, loopy, ridiculous, discombobulated, dim, absurd, oblivious, moronic, confused, perverse, idiotic, silly, weak",0,Emotion
services,products,0,Financial phrasebank
won,"alone, solely, strictly, particular, unparalleled, primarily, merely, just",1,
fell,"slipped, slumped, diminished, plunged, dropped, weakened, lost ground",0,Financial phrasebank
funny,"amiable, whimsicality, comical, comic, quirky, zany, playful, hilarious, quirkiness, jovial, witty, gleefully, impish, cheeky, hilariously, whimsical, mischievous, comically, giggling, joyful, humorous, charming, humorously, playfully, laughingly",0,SST2
increased,"widened, consolidated",0,Financial phrasebank
love,"delight, devoted, respect, tenderness, enthusiasm, loyalty, enthusiastically, lovingly, compassion, treasured, tenderly, cherished, fondly, embrace, sweetly, ardor, crave, enamored, infatuation, treasure, intensely, appreciate, longing, sweetheart, rapturous, delighted, ardent, devotion",0,SST2
company,union,0,Financial phrasebank
new,recent,0,Financial phrasebank
long,widened,0,Financial phrasebank
supply,"supplier, delivery",0,Financial phrasebank
good,"fine, highly, solid, worthy, pleasing, satisfactory, outstanding, honorable, unwavering, valuable, marvelous, positive, excellent, exceptionally well, impeccable, deserving, superior, flawless, splendid, admirable, suitable",0,SST2
dull,"uninteresting, listless, blah, tedious, boring",0,Emotion
sorry,"embarrassed, sorrowful, remorseful, excuse, unsatisfied, guilt, regretful, forgive, apologies, unfulfilled, humiliated, submissive, mournful, unwelcome, unfortunate, unhappy, inadequate, unpleasant, remorse",0,Emotion
